step,wall_time,value
357,1784108818.8998291,0.875
358,1784108819.0075498,0.875
359,1784108819.1130655,0.84375
360,1784108819.2186334,0.96875
361,1784108819.326637,0.9375
362,1784108819.4339123,0.90625
363,1784108819.537898,0.96875
364,1784108819.6410148,0.96875
365,1784108819.7449417,0.875
366,1784108819.8514483,0.8125
367,1784108819.9540732,0.9375
368,1784108820.058183,0.84375
369,1784108820.1659377,0.90625
370,1784108820.271117,0.90625
371,1784108820.3760948,0.875
372,1784108820.4813173,0.96875
373,1784108820.585186,0.9375
374,1784108820.691646,0.875
375,1784108820.7966082,0.9375
376,1784108820.9017134,0.96875
377,1784108821.0086126,1.0
378,1784108821.1137075,0.84375
379,1784108821.2191145,0.875
380,1784108821.3265047,0.875
381,1784108821.4292295,0.875
382,1784108821.5370085,1.0
383,1784108821.6417024,0.90625
384,1784108821.7452536,0.90625
385,1784108821.8494895,0.90625
386,1784108821.9564736,0.96875
387,1784108822.064712,0.84375
388,1784108822.1724696,0.90625
389,1784108822.2791877,0.84375
390,1784108822.386232,0.875
391,1784108822.4908974,0.96875
392,1784108822.59454,0.96875
393,1784108822.7016413,0.90625
394,1784108822.8069396,0.9375
395,1784108822.9168322,0.96875
396,1784108823.0261812,0.8125
397,1784108823.131019,0.90625
398,1784108823.235521,0.875
399,1784108823.3367746,0.90625
400,1784108823.4493406,0.96875
401,1784108823.5544426,0.9375
402,1784108823.6609142,0.8125
403,1784108823.7696776,0.78125
404,1784108823.875584,0.9375
405,1784108823.9813445,0.8125
406,1784108824.088337,0.875
407,1784108824.1916926,0.96875
408,1784108824.2936285,0.90625
409,1784108824.400254,0.84375
410,1784108824.5086825,0.90625
411,1784108824.6170037,0.875
412,1784108824.7258434,0.9375
413,1784108824.8304684,0.875
414,1784108824.9390562,0.9375
415,1784108825.0434165,0.90625
416,1784108825.1486225,0.90625
417,1784108825.2545993,0.96875
418,1784108825.360578,0.9375
419,1784108825.4669647,0.96875
420,1784108825.5736039,0.96875
421,1784108825.6788344,0.875
422,1784108825.7842119,0.78125
423,1784108825.8883731,0.9375
424,1784108825.990685,0.875
425,1784108826.0971236,0.9375
426,1784108826.2061906,0.90625
427,1784108826.3131523,0.96875
428,1784108826.419644,0.96875
429,1784108826.5236173,0.90625
430,1784108826.629909,0.90625
431,1784108826.73397,0.9375
432,1784108826.8405166,0.90625
433,1784108826.9569118,0.9375
434,1784108827.0686824,0.96875
435,1784108827.173492,0.96875
436,1784108827.2781477,0.9375
437,1784108827.3823972,0.9375
438,1784108827.488363,0.875
439,1784108827.5951455,1.0
440,1784108827.6998491,0.96875
441,1784108827.805529,0.90625
442,1784108827.910853,0.90625
443,1784108828.0164201,0.9375
444,1784108828.1229374,0.84375
445,1784108828.228457,0.84375
446,1784108828.33332,0.9375
447,1784108828.4499986,0.96875
448,1784108828.5568779,0.9375
449,1784108828.6637688,0.9375
450,1784108828.7712865,0.84375
451,1784108828.8795216,1.0
452,1784108828.9834785,0.9375
453,1784108829.085773,0.875
454,1784108829.19148,0.8125
455,1784108829.2958739,0.875
456,1784108829.4011831,0.9375
457,1784108829.5086164,0.9375
458,1784108829.6157966,0.875
459,1784108829.721777,0.9375
460,1784108829.827474,0.875
461,1784108829.9328876,0.90625
462,1784108830.039493,0.96875
463,1784108830.1437168,0.9375
464,1784108830.2474189,0.84375
465,1784108830.3525972,0.9375
466,1784108830.4576898,0.90625
467,1784108830.5643976,1.0
468,1784108830.6691337,0.96875
469,1784108830.7734606,0.9375
470,1784108830.8795512,0.84375
471,1784108830.9816988,0.875
472,1784108831.0843334,0.84375
473,1784108831.1883533,0.875
474,1784108831.29507,0.96875
475,1784108831.4036705,0.875
476,1784108831.5093126,0.9375
477,1784108831.6125894,0.875
478,1784108831.7199066,0.875
479,1784108831.8245893,0.78125
480,1784108831.929123,0.96875
481,1784108832.0346599,0.875
482,1784108832.144814,0.9375
483,1784108832.2493753,0.84375
484,1784108832.3535557,0.9375
485,1784108832.4611785,0.96875
486,1784108832.567195,0.875
487,1784108832.6720853,0.84375
488,1784108832.7762623,0.96875
489,1784108832.8852646,0.90625
490,1784108832.9908578,0.9375
491,1784108833.0954833,0.90625
492,1784108833.200824,0.90625
493,1784108833.3038654,0.875
494,1784108833.4093528,0.96875
495,1784108833.519604,0.875
496,1784108833.6220696,0.875
497,1784108833.7284877,0.90625
498,1784108833.8344576,0.9375
499,1784108833.9412374,0.96875
500,1784108834.0469654,0.9375
501,1784108834.1501281,0.84375
502,1784108834.255518,0.96875
503,1784108834.360581,0.875
504,1784108834.4694662,0.96875
505,1784108834.5785897,0.9375
506,1784108834.6850195,0.875
507,1784108834.7929423,0.90625
508,1784108834.90129,0.90625
509,1784108835.0074565,1.0
510,1784108835.1153488,0.9375
511,1784108835.2202501,0.9375
512,1784108835.3237584,0.9375
513,1784108835.4291549,0.90625
514,1784108835.5345218,0.90625
515,1784108835.6417236,0.875
516,1784108835.7473528,0.875
517,1784108835.8508236,0.84375
